sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000001,annotation_images,0.1,0.4,0.0,20.292512893676758,15.869731903076172,/00000001/cells/t_start_0p1__t_end_0p4.jpg
00000001,annotation_images,0.1,0.5,0.0,18.070011138916016,20.87751579284668,/00000001/cells/t_start_0p1__t_end_0p5.jpg
00000001,annotation_images,0.1,0.6,0.0,16.164554595947266,19.358524322509766,/00000001/cells/t_start_0p1__t_end_0p6.jpg
00000001,annotation_images,0.1,0.7,0.0,13.426304817199707,19.864059448242188,/00000001/cells/t_start_0p1__t_end_0p7.jpg
00000001,annotation_images,0.1,0.8,0.0,12.19288444519043,19.393789291381836,/00000001/cells/t_start_0p1__t_end_0p8.jpg
00000001,annotation_images,0.1,0.9,0.0,11.581250190734863,19.88785743713379,/00000001/cells/t_start_0p1__t_end_0p9.jpg
00000001,annotation_images,0.1,1.0,0.0,9.812788963317871,16.146623611450195,/00000001/cells/t_start_0p1__t_end_1p0.jpg
00000001,annotation_images,0.2,0.0,0.0,28.252775192260742,17.415042877197266,/00000001/cells/t_start_0p2__t_end_0p0.jpg
00000001,annotation_images,0.2,0.1,0.0,25.24686622619629,13.672977447509766,/00000001/cells/t_start_0p2__t_end_0p1.jpg
00000001,annotation_images,0.2,0.2,0.0,23.615427017211914,16.02252769470215,/00000001/cells/t_start_0p2__t_end_0p2.jpg
00000001,annotation_images,0.2,0.3,0.0,22.007713317871094,21.750404357910156,/00000001/cells/t_start_0p2__t_end_0p3.jpg
00000001,annotation_images,0.2,0.4,0.0,20.153120040893555,22.769168853759766,/00000001/cells/t_start_0p2__t_end_0p4.jpg
00000001,annotation_images,0.2,0.5,0.0,18.061485290527344,22.463878631591797,/00000001/cells/t_start_0p2__t_end_0p5.jpg
00000001,annotation_images,0.2,0.6,0.0,16.112619400024414,19.208118438720703,/00000001/cells/t_start_0p2__t_end_0p6.jpg
00000001,annotation_images,0.2,0.7,0.0,13.401556968688965,20.26951026916504,/00000001/cells/t_start_0p2__t_end_0p7.jpg
00000001,annotation_images,0.2,0.8,0.0,12.204132080078125,19.32455825805664,/00000001/cells/t_start_0p2__t_end_0p8.jpg
00000001,annotation_images,0.2,0.9,0.0,11.575927734375,19.45641326904297,/00000001/cells/t_start_0p2__t_end_0p9.jpg
00000001,annotation_images,0.2,1.0,0.0,9.81379508972168,16.38420295715332,/00000001/cells/t_start_0p2__t_end_1p0.jpg
00000001,annotation_images,0.3,0.0,0.0,26.907167434692383,16.20697593688965,/00000001/cells/t_start_0p3__t_end_0p0.jpg
00000001,annotation_images,0.3,0.1,0.0,24.906097412109375,12.110837936401367,/00000001/cells/t_start_0p3__t_end_0p1.jpg
00000001,annotation_images,0.3,0.2,0.0,23.254594802856445,14.540886878967285,/00000001/cells/t_start_0p3__t_end_0p2.jpg
00000001,annotation_images,0.3,0.3,0.0,21.44577407836914,13.990325927734375,/00000001/cells/t_start_0p3__t_end_0p3.jpg
00000001,annotation_images,0.3,0.4,0.0,19.99782371520996,9.882357597351074,/00000001/cells/t_start_0p3__t_end_0p4.jpg
00000001,annotation_images,0.3,0.5,0.0,17.817045211791992,12.695688247680664,/00000001/cells/t_start_0p3__t_end_0p5.jpg
00000001,annotation_images,0.3,0.6,0.0,16.074766159057617,20.47338104248047,/00000001/cells/t_start_0p3__t_end_0p6.jpg
00000001,annotation_images,0.3,0.7,0.0,13.427730560302734,19.864078521728516,/00000001/cells/t_start_0p3__t_end_0p7.jpg
00000001,annotation_images,0.3,0.8,0.0,12.212285995483398,18.82924461364746,/00000001/cells/t_start_0p3__t_end_0p8.jpg
00000001,annotation_images,0.3,0.9,0.0,11.577234268188477,20.028663635253906,/00000001/cells/t_start_0p3__t_end_0p9.jpg
00000001,annotation_images,0.3,1.0,0.0,9.799762725830078,16.854949951171875,/00000001/cells/t_start_0p3__t_end_1p0.jpg
00000001,annotation_images,0.4,0.0,0.0,24.072694778442383,12.803845405578613,/00000001/cells/t_start_0p4__t_end_0p0.jpg
