sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image,combined_quality_score
111,0.0,0.0,0.0,23.52702522277832,15.851503372192385,0.2978678724724747
112,0.0,0.0,0.0,21.6236515045166,27.72659111022949,0.4804172272775628
113,0.0,0.0,0.0,23.163856506347656,18.656686782836918,0.3427838101656804
114,0.0,0.0,0.0,30.324369430541992,19.672887802124023,0.51031757049702
115,0.0,0.0,0.0,33.74352264404297,23.004980087280277,0.6435435835647163
116,0.0,0.0,0.0,25.281471252441406,21.19126892089844,0.43410018641498826
117,0.0,0.0,0.0,29.813100814819336,18.55051612854004,0.4787268102548957
118,0.0,0.0,0.0,32.20457077026367,23.072118759155277,0.6128757609121264
119,0.0,0.0,0.0,29.621824264526367,23.309785842895508,0.5637444798223499
120,0.0,0.0,0.0,29.41359138488769,15.861513137817385,0.42016257329765694
121,0.0,0.0,0.0,25.711463928222656,25.809616088867188,0.5293702393959001
122,0.0,0.0,0.0,24.120073318481445,18.261083602905277,0.35522231858790465
123,0.0,0.0,0.0,28.4047794342041,19.652732849121094,0.4701218560021302
124,0.0,0.0,0.0,27.722517013549805,20.40933609008789,0.4701158194033584
125,0.0,0.0,0.0,27.82176399230957,15.909819602966309,0.38804582022099665
126,0.0,0.0,0.0,26.865781784057617,18.159637451171875,0.41028094988113095
127,0.0,0.0,0.0,27.744518280029297,23.59624290466309,0.5301586913857114
128,0.0,0.0,0.0,26.582603454589844,33.948238372802734,0.6996107600821369
129,0.0,0.0,0.0,29.324586868286133,15.871572494506836,0.41850439736934825
130,0.0,0.0,0.0,33.459712982177734,30.375,0.7754557279858973
131,0.0,0.0,0.0,22.553953170776367,27.811613082885746,0.5013045500576769
132,0.0,0.0,0.0,29.397926330566406,25.49364471435547,0.5999322914524226
133,0.0,0.0,0.0,29.111921310424805,21.74461936950684,0.5239029895437151
134,0.0,0.0,0.0,33.9696159362793,24.84391593933105,0.6826166321650178
135,0.0,0.0,0.0,31.67684936523437,25.819551467895508,0.6532985311348039
136,0.0,0.0,0.0,29.59648895263672,20.88018035888672,0.5177919236510597
137,0.0,0.0,0.0,21.982641220092773,22.12834930419922,0.3831920067704694
138,0.0,0.0,0.0,26.09361457824707,18.80422592163086,0.4063156085134475
139,0.0,0.0,0.0,18.760202407836918,21.192535400390625,0.29885041302758125
111000000000,0.0,0.0,0.0,25.237632751464844,15.00997257232666,0.31761739461433025
111000000001,0.0,0.0,0.0,29.904539108276367,25.74822998046875,0.6152012278695107
111000000002,0.0,0.0,0.0,31.514747619628903,15.039862632751465,0.4483851207943115
111000000003,0.0,0.0,0.0,30.18595314025879,15.511636734008787,0.42964226444018105
111000000004,0.0,0.0,0.0,26.44720458984375,28.58802032470703,0.5965806239387041
111000000005,0.0,0.0,0.0,28.36724090576172,21.53117561340332,0.5044649494408295
111000000006,0.0,0.0,0.0,37.7373046875,24.310497283935547,0.7507979241362737
111000000007,0.0,0.0,0.0,28.01445198059082,15.975732803344728,0.3932752267014783
111000000008,0.0,0.0,0.0,25.695556640625,23.14899635314941,0.4792939144991347
111000000009,0.0,0.0,0.0,23.196853637695312,15.863597869873049,0.291245117077186
112000000000,0.0,0.0,0.0,24.40231132507324,24.948457717895508,0.4861126106320869
112000000001,0.0,0.0,0.0,26.83257102966309,18.543285369873047,0.41676521779326137
112000000002,0.0,0.0,0.0,28.18657493591309,21.147119522094727,0.49353651395922854
112000000003,0.0,0.0,0.0,27.10136032104492,18.972314834594727,0.4303625125855908
112000000004,0.0,0.0,0.0,27.884204864501957,23.502410888671875,0.5313018661010123
112000000005,0.0,0.0,0.0,22.56376838684082,22.21690559387207,0.396902336521205
112000000006,0.0,0.0,0.0,26.525840759277344,23.745954513549805,0.5076783452068323
112000000007,0.0,0.0,0.0,26.413311004638672,22.752281188964844,0.4867651038616197
112000000008,0.0,0.0,0.0,28.250938415527344,25.556108474731445,0.5773077357652778
112000000009,0.0,0.0,0.0,25.96527099609375,22.86213111877441,0.47952511435573475
113000000000,0.0,0.0,0.0,27.82142639160156,21.91067695617676,0.5002385298632293
113000000001,0.0,0.0,0.0,35.772464752197266,14.999821662902832,0.5359561008217317
113000000002,0.0,0.0,0.0,28.59339141845703,21.9794921875,0.5175383864050812
113000000003,0.0,0.0,0.0,28.667407989501957,22.026594161987305,0.5199544224420616
