sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
4,0.15,0.2,0.9,24.853878420277624,22.4495849609375
4,0.15,0.2,1.0,24.853878420277624,22.4495849609375
4,0.15,0.3,0.0,31.40371338814733,21.82833480834961
4,0.15,0.3,0.1,26.78726568599879,21.90923309326172
4,0.15,0.3,0.2,24.763341548467544,22.407299041748047
4,0.15,0.3,0.3,22.800952453463,23.049808502197266
4,0.15,0.3,0.4,22.800952453463,23.049808502197266
4,0.15,0.3,0.5,22.800952453463,23.049808502197266
4,0.15,0.3,0.6,22.800952453463,23.049808502197266
4,0.15,0.3,0.7,22.800952453463,23.049808502197266
4,0.15,0.3,0.8,22.800952453463,23.049808502197266
4,0.15,0.3,0.9,22.800952453463,23.049808502197266
4,0.15,0.3,1.0,22.800952453463,23.049808502197266
4,0.15,0.4,0.0,30.723104863812544,22.180992126464844
4,0.15,0.4,0.1,26.59968323583672,22.23353576660156
4,0.15,0.4,0.2,24.55167938546971,23.15993309020996
4,0.15,0.4,0.3,22.70831601547789,23.159587860107425
4,0.15,0.4,0.4,20.83266790866366,21.655244827270508
4,0.15,0.4,0.5,20.83266790866366,21.655244827270508
4,0.15,0.4,0.6,20.83266790866366,21.655244827270508
4,0.15,0.4,0.7,20.83266790866366,21.655244827270508
4,0.15,0.4,0.8,20.83266790866366,21.655244827270508
4,0.15,0.4,0.9,20.83266790866366,21.655244827270508
4,0.15,0.4,1.0,20.83266790866366,21.655244827270508
4,0.15,0.5,0.0,29.10287117154172,22.42486953735352
4,0.15,0.5,0.1,26.221280500192748,22.007843017578125
4,0.15,0.5,0.2,24.29611436257034,23.08963966369629
4,0.15,0.5,0.3,22.442346410730387,22.470155715942383
4,0.15,0.5,0.4,20.7141238568339,22.97941017150879
4,0.15,0.5,0.5,19.292215188914664,23.221263885498047
4,0.15,0.5,0.6,19.292215188914664,23.221263885498047
4,0.15,0.5,0.7,19.292215188914664,23.221263885498047
4,0.15,0.5,0.8,19.292215188914664,23.221263885498047
4,0.15,0.5,0.9,19.292215188914664,23.221263885498047
4,0.15,0.5,1.0,19.292215188914664,23.221263885498047
4,0.15,0.6,0.0,26.477043540898908,21.54973602294922
4,0.15,0.6,0.1,25.238877802685188,21.825340270996094
4,0.15,0.6,0.2,23.6066710155566,22.63601303100586
4,0.15,0.6,0.3,21.784541881219617,25.792888641357425
4,0.15,0.6,0.4,20.194166322748384,23.12297821044922
4,0.15,0.6,0.5,18.878674482899022,21.617311477661133
