file_id,classifier_full_sdturbo_t00_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t00_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t01_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t01_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t02_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t02_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t03_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t03_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t04_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t04_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t05_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t05_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t06_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t06_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t07_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t07_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t08_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t08_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t09_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t09_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t10_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t10_delta0_tc030|clip_similarity_target_image_edit_part
000000000041,31.371356964111328,16.685256958007812,31.37552833557129,16.680755615234375,31.375967025756836,17.25400733947754,31.319547653198242,19.3393611907959,31.145591735839844,19.532922744750977,31.406835556030273,24.0571231842041,31.28615379333496,25.600460052490234,30.848690032958984,23.956396102905273,30.48583221435547,24.253759384155273,26.777931213378906,25.560829162597656,25.480558395385742,23.653564453125
000000000042,25.862037658691406,22.612533569335938,25.87215232849121,23.66944122314453,25.863622665405273,21.86837387084961,25.340707778930664,21.314525604248047,25.216445922851562,21.78738021850586,23.32662582397461,19.682443618774414,22.354970932006836,20.72107696533203,21.324851989746094,21.127822875976562,20.389711380004883,22.422637939453125,19.074045181274414,21.043540954589844,16.982013702392578,17.898468017578125
000000000043,27.495038986206055,21.14972686767578,27.495471954345703,21.36835479736328,27.50003433227539,21.206886291503906,27.50088119506836,20.449562072753906,27.477083206176758,20.55582046508789,27.45465850830078,22.033458709716797,27.201539993286133,23.10654640197754,25.82777976989746,23.63600730895996,24.467464447021484,24.312728881835938,22.52761459350586,23.30635643005371,20.405778884887695,22.1958065032959
000000000044,26.110607147216797,22.3443660736084,26.113279342651367,22.612974166870117,26.110416412353516,22.867084503173828,26.129098892211914,22.420764923095703,26.012311935424805,22.845558166503906,25.85759735107422,25.962770462036133,25.550277709960938,28.04358673095703,24.05124855041504,27.186500549316406,24.038230895996094,27.299118041992188,20.5677490234375,28.09113311767578,18.706974029541016,27.316692352294922
000000000045,24.404666900634766,26.425079345703125,24.406057357788086,26.483049392700195,24.39670181274414,26.454193115234375,24.28380012512207,26.61966323852539,24.024503707885742,26.513940811157227,24.291948318481445,29.909503936767578,23.878890991210938,29.584667205810547,23.935571670532227,29.884225845336914,20.095985412597656,30.72928237915039,17.964643478393555,24.82245445251465,20.835548400878906,28.361051559448242
000000000046,nan,22.870948791503906,nan,22.758264541625977,nan,22.635725021362305,nan,23.122264862060547,nan,23.340862274169922,nan,23.563325881958008,nan,23.006988525390625,nan,23.036457061767578,nan,23.40435028076172,nan,23.802635192871094,nan,23.0107421875
000000000047,21.6330623626709,20.3098201751709,21.63446044921875,20.315921783447266,21.6321964263916,20.747188568115234,21.612215042114258,20.479759216308594,21.53873634338379,20.15216636657715,21.508955001831055,19.487842559814453,21.52603530883789,20.788270950317383,21.51727867126465,20.90395736694336,21.32245635986328,20.310752868652344,20.553335189819336,21.531551361083984,19.199464797973633,20.539077758789062
000000000048,40.555912017822266,22.23073959350586,40.57291793823242,22.262022018432617,40.56864547729492,22.003692626953125,40.52888870239258,22.0369930267334,40.509300231933594,21.91506576538086,40.43156814575195,21.811222076416016,40.40565872192383,21.939796447753906,39.97099685668945,22.132173538208008,39.1739501953125,22.25125503540039,38.39504623413086,21.993318557739258,37.1136589050293,21.511058807373047
000000000049,25.413475036621094,24.102493286132812,25.408781051635742,25.137096405029297,25.399198532104492,24.714357376098633,25.417394638061523,24.676496505737305,25.335805892944336,24.729366302490234,25.262643814086914,24.78231430053711,25.24250602722168,24.92612648010254,24.955446243286133,26.684659957885742,24.35561752319336,25.866586685180664,20.40938949584961,26.29059600830078,18.653209686279297,26.352142333984375
000000000050,24.22545623779297,17.860620498657227,24.193592071533203,18.43171501159668,24.087177276611328,17.451305389404297,23.839231491088867,17.09519386291504,23.543981552124023,17.819049835205078,23.39963150024414,16.85782241821289,23.033143997192383,18.0653133392334,21.929218292236328,18.840085983276367,17.762331008911133,20.172523498535156,16.196063995361328,18.49201011657715,13.75552749633789,17.646284103393555
