sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
113000000005,0.0,0.0,0.0,37.247215270996094,20.16390609741211
113000000006,0.0,0.0,0.0,32.54725646972656,26.951753616333008
113000000007,0.0,0.0,0.0,29.59300994873047,21.576961517333984
113000000008,0.0,0.0,0.0,24.967750549316406,23.882787704467773
113000000009,0.0,0.0,0.0,20.5466537475586,26.871192932128903
114000000000,0.0,0.0,0.0,25.553815841674805,30.1153621673584
114000000001,0.0,0.0,0.0,32.18794250488281,28.50592803955078
114000000002,0.0,0.0,0.0,31.67117691040039,22.459213256835938
114000000003,0.0,0.0,0.0,26.48830795288086,22.201322555541992
114000000004,0.0,0.0,0.0,31.45073127746582,28.27472686767578
114000000005,0.0,0.0,0.0,26.46684455871582,22.52653884887696
114000000006,0.0,0.0,0.0,29.447240829467773,20.2242488861084
114000000007,0.0,0.0,0.0,27.384841918945312,17.427215576171875
114000000008,0.0,0.0,0.0,27.72920036315918,26.80230712890625
114000000009,0.0,0.0,0.0,30.33329391479492,23.68881607055664
121000000000,0.0,0.0,0.0,28.65191078186035,18.779918670654297
121000000001,0.0,0.0,0.0,30.776729583740234,20.46314811706543
121000000002,0.0,0.0,0.0,24.45559310913086,16.84330177307129
121000000003,0.0,0.0,0.0,24.13438415527344,22.63688468933105
121000000004,0.0,0.0,0.0,25.9892807006836,20.85299491882324
121000000005,0.0,0.0,0.0,29.935258865356445,21.80087280273437
121000000006,0.0,0.0,0.0,27.476680755615234,18.96083068847656
121000000007,0.0,0.0,0.0,25.40132522583008,20.70391845703125
121000000008,0.0,0.0,0.0,25.26240921020508,19.3675479888916
121000000009,0.0,0.0,0.0,26.090450286865234,7.206381320953369
122000000000,0.0,0.0,0.0,28.531147003173828,17.348474502563477
122000000001,0.0,0.0,0.0,29.28009414672852,13.946585655212402
122000000002,0.0,0.0,0.0,32.83462142944336,22.03044509887696
122000000003,0.0,0.0,0.0,24.10994911193848,22.281295776367188
